categoryId,productId
db914907-6eb0-4c66-aa99-99e46ea57079,4e5d83ce-0af4-4127-80d0-e38e14e09d58
db914907-6eb0-4c66-aa99-99e46ea57079,1f2060b0-0c3c-435c-b132-03b681ea0a5b
26b78425-b3de-480b-b7b3-119ae8d7958a,983229a9-15d1-47da-a935-84d98e3d0169
26b78425-b3de-480b-b7b3-119ae8d7958a,5729b465-4d18-4ac5-83d3-f50117d18591
c6256c5e-209c-4fb9-85c7-ad0630b132ca,c48e1cc9-f563-4742-9949-12090301989f
c6256c5e-209c-4fb9-85c7-ad0630b132ca,9ea4c09a-0360-40a5-bd1d-f5df1e484f2a
51bf7332-3344-4110-a221-ad4c6e11b23f,b3916087-2650-4792-9b1d-407a4c94d0b4
51bf7332-3344-4110-a221-ad4c6e11b23f,47bffc01-7094-4214-a81a-14bd1732447f
51bf7332-3344-4110-a221-ad4c6e11b23f,3ff7d350-7282-4a1b-877e-e10e4088801b
51bf7332-3344-4110-a221-ad4c6e11b23f,0fc86b21-949e-4a67-bb9b-172097fbe397
51bf7332-3344-4110-a221-ad4c6e11b23f,802af688-6b73-4e9b-b15c-ca216fe2bed2
51bf7332-3344-4110-a221-ad4c6e11b23f,c5b7b14c-9869-4eb6-a572-69909ef5691a
51bf7332-3344-4110-a221-ad4c6e11b23f,26a466e8-e2e8-4cbb-84a6-d93a00dba448
51bf7332-3344-4110-a221-ad4c6e11b23f,e1558179-d1e3-416e-964d-ee5111139ca4
51bf7332-3344-4110-a221-ad4c6e11b23f,089df606-78d4-4613-9636-e21bfdae923b
51bf7332-3344-4110-a221-ad4c6e11b23f,523863b1-9570-45d7-a665-3b1e54a95697
51bf7332-3344-4110-a221-ad4c6e11b23f,dce94c80-e6fc-4d18-af29-1ddbb5983d96
51bf7332-3344-4110-a221-ad4c6e11b23f,ec90a82f-15f2-4e62-acc8-58cf1305da91
51bf7332-3344-4110-a221-ad4c6e11b23f,47eae22d-4a9c-45b9-98ad-4290c0853f38
51bf7332-3344-4110-a221-ad4c6e11b23f,1f94ef7e-b4a2-4a40-bd7c-e2659710919c
51bf7332-3344-4110-a221-ad4c6e11b23f,0948946b-f8fc-4ac4-a2f7-c70d20c1e5ac
51bf7332-3344-4110-a221-ad4c6e11b23f,1524977f-b79d-4ed2-bf76-cd6999f67b73
51bf7332-3344-4110-a221-ad4c6e11b23f,7d4c4c9e-c536-4176-b563-2da83fc3e7d0
51bf7332-3344-4110-a221-ad4c6e11b23f,0858b485-88f8-44fe-9734-f4ae74be1493
51bf7332-3344-4110-a221-ad4c6e11b23f,616e8b9c-7756-451b-a9a4-78d29ac47bed
51bf7332-3344-4110-a221-ad4c6e11b23f,5ab22014-4c6d-4d98-b0d4-425e5a49b729
51bf7332-3344-4110-a221-ad4c6e11b23f,a50d4c42-5801-4b77-b09c-ecef6fa517c6
51bf7332-3344-4110-a221-ad4c6e11b23f,c6a23eb7-9c5e-477d-aba8-df6a946b2ac1
51bf7332-3344-4110-a221-ad4c6e11b23f,ab72a94c-e795-4c02-b440-3c467ebf5f1d
51bf7332-3344-4110-a221-ad4c6e11b23f,30082e07-9d40-41d6-8354-4399fc9fb6f4
51bf7332-3344-4110-a221-ad4c6e11b23f,bc10964a-9fa8-4c42-8edc-7a1ae3a492f0
51bf7332-3344-4110-a221-ad4c6e11b23f,5dd3e14b-be21-4d6b-939d-b74490fdc700
51bf7332-3344-4110-a221-ad4c6e11b23f,c91305e1-d861-40b6-9ba6-8d4fb133c356
51bf7332-3344-4110-a221-ad4c6e11b23f,14287f7a-5651-4b41-9ba3-a6fb2b1e3bb3
51bf7332-3344-4110-a221-ad4c6e11b23f,a6a4a029-246a-4858-8b7d-bb5bfa684334
51bf7332-3344-4110-a221-ad4c6e11b23f,c8bc5c63-b7ed-4b4b-a7ef-d5352841a151
51bf7332-3344-4110-a221-ad4c6e11b23f,af958a48-7074-4dce-bff2-d2786878d10c
51bf7332-3344-4110-a221-ad4c6e11b23f,0afde087-bfb5-4349-8995-487c6bfd0066
51bf7332-3344-4110-a221-ad4c6e11b23f,5602dce2-1fec-455c-a387-1e84fe328293
51bf7332-3344-4110-a221-ad4c6e11b23f,e8cb23ad-535f-4088-a91e-8ee02d8c2926
51bf7332-3344-4110-a221-ad4c6e11b23f,d991fec3-6b40-47ce-84c8-e67dc8d3e53e
